GP,MIN,PTS,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,MVP
80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,0.7,3.6,4.3,7.7,2,0.2,3.1,25.9,m
79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,2.1,0.2,3.3,30.7,m
81,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9,10.7,10.4,1.6,0.4,5.4,33.8,m
81,37.4,25,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,1,3.1,4.1,7.7,1,0.6,3.4,23.1,m
62,37.5,27.1,10,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,1.9,0.8,3.4,29.9,m
76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7,75.3,1.3,6.8,8,7.3,1.7,0.9,3,32.2,m
81,38.5,32,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,1.3,0.7,3.5,31.8,m
72,29.2,17.2,7,13.7,51.3,0,0.1,10,3.1,3.8,81.4,3,4.5,7.4,0.7,0.6,1.8,1.4,18.8,h
75,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,18.8,h
77,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38,3.3,3.8,88.2,0.6,5.4,5.9,1.9,0.5,0.4,1.1,17.1,h
69,30.3,18.6,6.1,14.7,41.6,2.3,6.5,36.1,4,4.7,86.6,0.5,1.8,2.3,3.2,0.9,0.2,2,14,h
80,30.3,17.4,5.5,12.7,43.3,1.9,5.5,34.9,4.5,5.1,87.1,0.5,3.2,3.7,4.9,1.5,0.4,2.2,17.9,h
74,30.4,19.4,7.7,14.8,52.1,0,0,0,4,5.3,75.8,2.8,4.1,6.9,0.9,0.4,2.1,1.8,19.7,h
74,30.5,19,7.3,16,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3,4.1,4.6,1.1,0.6,2.7,16.8,h
74,30.6,18,7.2,14.1,51.3,0,0.2,0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,0.5,1.1,1.3,20.8,h
79,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.4,0.7,2.5,3.2,6.2,0.7,0.1,2.8,16.8,h
65,31.3,18.2,8.2,16.1,51,0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,0.8,1.1,1.9,21.3,h
75,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,0.7,0.7,1.1,18.3,h
62,31.8,21.5,8.2,17.5,47,0.5,1.6,28.4,4.6,6,76.8,0.9,2.6,3.5,4.8,1.2,0.3,3.4,17.3,h
77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.1,0.8,1.9,18.3,h
82,32,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2,0.7,1.7,2.2,23.8,h
68,32,19.1,6.5,15,43,1.7,4.4,38.7,4.5,5,89.1,0.5,2.5,3,1.8,1,0.1,1.6,14.2,h
72,32.1,16.8,4.7,11,42.7,2,5,40.2,5.3,5.8,91.6,0.3,2.3,2.6,5.4,1,0.2,2.5,16.7,h
82,32.2,22.2,7.2,16.9,42.8,2,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3,6.2,1.1,0.1,2.7,19.4,h
63,32.3,17,6,14.1,42.2,2,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,1.4,0.2,3,16.1,h
73,32.3,19.2,7.7,17.1,45,0.8,2.2,36.6,3,4,75.3,1.6,4,5.6,2.2,0.7,0.7,2.7,15.4,h
71,32.4,22.7,8.3,16.8,49.6,0,0.1,0,6.1,8.4,72.6,3.1,8.6,11.7,2.9,1.5,1.3,3.5,25.9,h
